,tiempoEnvio,tiempoRecepcion,tiempoServer,estado,accion,recibido
920,1658418833298,1658418833317.0,1658418833321.0,b'\xf8\xf7\xfa\xf5\xd5\xa5\xf7\xf7\xfb\xf8\xf2\xef\xa7\xf8\xfd\xfb\xf4\xf2\x8a\xf9\xff\xfd\xf6\xf5\xf4\x97\xfd\xfc\xf6\xf6\xff\x86\xfc\xfa\xf5\xf5\xfd\x93\xee\xf9\xf7\xf6\xff\xeb\xa9\xfc\xf9\xf8',2.0,True
921,1658418833337,,,b'\xf8\xf7\xfa\xf5\xd5\xa5\xf7\xf7\xfb\xf8\xf2\xef\xa7\xf8\xfd\xfb\xf4\xf2\x8a\xf9\xff\xfd\xf6\xf5\xf4\x97\xfd\xfc\xf6\xf6\xff\x86\xfc\xfa\xf5\xf5\xfd\x93\xee\xf9\xf7\xf6\xff\xeb\xa9\xfc\xf9\xf8',,False
922,1658418833337,1658418833396.0,1658418833360.0,b'\xf8\xf7\xfa\xf5\xd5\xa5\xf7\xf7\xfb\xf8\xf2\xef\xa7\xf8\xfd\xfb\xf4\xf2\x8a\xf9\xff\xfd\xf6\xf5\xf4\x97\xfd\xfc\xf6\xf6\xff\x86\xfc\xfa\xf5\xf5\xfd\x93\xee\xf9\xf7\xf6\xff\xeb\xa9\xfc\xf9\xf8',2.0,True
923,1658418833500,,,b'\xf8\xf7\xfa\xf5\xd5\xa5\xf7\xf7\xfb\xf8\xf2\xef\xa7\xf8\xfd\xfb\xf4\xf2\x8a\xf9\xff\xfd\xf6\xf5\xf4\x97\xfd\xfc\xf6\xf6\xff\x86\xfc\xfa\xf5\xf5\xfd\x93\xee\xf9\xf7\xf6\xff\xeb\xa9\xfc\xf9\xf8',,False
924,1658418833500,1658418833574.0,1658418833525.0,b'\xf8\xf7\xfa\xf5\xd5\xa5\xf7\xf7\xfb\xf8\xf2\xef\xa7\xf8\xfd\xfb\xf4\xf2\x8a\xf9\xff\xfd\xf6\xf5\xf4\x97\xfd\xfc\xf6\xf6\xff\x86\xfc\xfa\xf5\xf5\xfd\x93\xee\xf9\xf7\xf6\xff\xeb\xa9\xfc\xf9\xf8',2.0,True
925,1658418833736,,,b'\xf7\xf7\xfa\xf4\xcb\xa4\xf7\xf7\xfb\xf7\xf2\xee\xe9\xf8\xfe\xfc\xf4\xf2\x85\xf9\xff\xfe\xf6\xf5\xa4\xed\xfe\xfc\xf6\xf5\xff\x85\xfc\xfa\xf5\xf4\xfd\x8d\xfa\xf9\xf6\xf7\xff\x9f\xec\xfb\xf8\xf8',,False
926,1658418833736,1658418833791.0,1658418833761.0,b'\xf7\xf7\xfa\xf4\xcb\xa4\xf7\xf7\xfb\xf7\xf2\xee\xe9\xf8\xfe\xfc\xf4\xf2\x85\xf9\xff\xfe\xf6\xf5\xa4\xed\xfe\xfc\xf6\xf5\xff\x85\xfc\xfa\xf5\xf4\xfd\x8d\xfa\xf9\xf6\xf7\xff\x9f\xec\xfb\xf8\xf8',2.0,True
927,1658418833805,,,b'\xf7\xf7\xfa\xf4\xcb\xa4\xf7\xf7\xfb\xf7\xf2\xee\xe9\xf8\xfe\xfc\xf4\xf2\x85\xf9\xff\xfe\xf6\xf5\xa4\xed\xfe\xfc\xf6\xf5\xff\x85\xfc\xfa\xf5\xf4\xfd\x8d\xfa\xf9\xf6\xf7\xff\x9f\xec\xfb\xf8\xf8',,False
928,1658418833805,1658418833813.0,1658418833829.0,b'\xf7\xf7\xfa\xf4\xcb\xa4\xf7\xf7\xfb\xf7\xf2\xee\xe9\xf8\xfe\xfc\xf4\xf2\x85\xf9\xff\xfe\xf6\xf5\xa4\xed\xfe\xfc\xf6\xf5\xff\x85\xfc\xfa\xf5\xf4\xfd\x8d\xfa\xf9\xf6\xf7\xff\x9f\xec\xfb\xf8\xf8',2.0,True
929,1658418833822,,,b'\xf8\xf6\xf9\xe0\x9a\xb4\xf7\xf6\xfb\xf8\xf3\xef\xf8\xf7\xfe\xfb\xf4\xf3\xf8\xf8\xff\xfe\xf6\xf4\xa3\xf7\xfd\xfc\xf5\xf5\x83\xf6\xfc\xfa\xf5\xf5\x87\xf8\xfb\xf9\xf7\xf7\x8c\xe9\xfc\xfa\xf9\xf9',,False
